Nr_Crt,Denumire,Nr_Doc_Z,Data,Explicatii,Total_Valoare,Scutit_Cu_Drept_Reducere,Scutit_Fara_Drept_Reducere,Taxabile_21_Baza_Impozitare,Taxabile_21_Val_TVA,Taxabile_11_Baza_Impozitare,Taxabile_11_Val_TVA,Nefolosit_1_Baza_Impozitare,Nefolosit_1_Val_TVA,Nefolosit_2_Baza_Impozitare,Nefolosit_2_Val_TVA,Netaxabil_Baza_Impozitare,Netaxabil_Val_TVA,Final_Rate
1,Z POS,305,2025-12-01,Z emis la POS nr.1 inchiderea 302,4274.44,0,0,11.98,2.52,3837.78,422.16,0,0,0,0,0.0,0,0
2,Z POS,306,2025-12-02,Z emis la POS nr.1 inchiderea 303,4724.71,0,0,66.53,13.97,4183.52,460.19,0,0,0,0,0.5,0,0
3,Z POS,307,2025-12-03,Z emis la POS nr.1 inchiderea 304,6243.26,0,0,33.47,7.03,5588.07,614.69,0,0,0,0,0.0,0,0
4,Z POS,308,2025-12-04,Z emis la POS nr.1 inchiderea 305,5171.08,0,0,30.17,6.33,4624.85,508.73,0,0,0,0,1.0,0,0
5,Z POS,309,2025-12-05,Z emis la POS nr.1 inchiderea 306,5448.44,0,0,47.93,10.07,4856.25,534.19,0,0,0,0,0.0,0,0
6,Z POS,310,2025-12-06,Z emis la POS nr.1 inchiderea 307,4001.67,0,0,11.16,2.34,3592.5,395.17,0,0,0,0,0.5,0,0
7,Z POS,311,2025-12-07,Z emis la POS nr.1 inchiderea 308,3499.78,0,0,13.64,2.86,3138.09,345.19,0,0,0,0,0.0,0,0
8,Z POS,312,2025-12-08,Z emis la POS nr.1 inchiderea 309,5048.63,0,0,20.25,4.25,4526.24,497.89,0,0,0,0,0.0,0,0
9,Z POS,313,2025-12-09,Z emis la POS nr.1 inchiderea 310,4730.97,0,0,16.94,3.56,4243.22,466.75,0,0,0,0,0.5,0,0
10,Z POS,314,2025-12-10,Z emis la POS nr.1 inchiderea 311,4660.28,0,0,33.06,6.94,4161.96,457.82,0,0,0,0,0.5,0,0
11,Z POS,315,2025-12-11,Z emis la POS nr.1 inchiderea 312,4986.22,0,0,42.15,8.85,4446.14,489.08,0,0,0,0,0.0,0,0
12,Z POS,316,2025-12-12,Z emis la POS nr.1 inchiderea 313,5959.77,0,0,28.93,6.07,5336.73,587.04,0,0,0,0,1.0,0,0
13,Z POS,317,2025-12-13,Z emis la POS nr.1 inchiderea 314,5753.5,0,0,155.79,32.71,5012.61,551.39,0,0,0,0,1.0,0,0
14,Z POS,318,2025-12-14,Z emis la POS nr.1 inchiderea 315,5043.68,0,0,7.02,1.48,4536.2,498.98,0,0,0,0,0.0,0,0
15,Z POS,319,2025-12-15,Z emis la POS nr.1 inchiderea 316,6278.76,0,0,29.75,6.25,5624.11,618.65,0,0,0,0,0.0,0,0
16,Z POS,320,2025-12-16,Z emis la POS nr.1 inchiderea 317,5705.26,0,0,34.3,7.2,5102.04,561.22,0,0,0,0,0.5,0,0
17,Z POS,321,2025-12-17,Z emis la POS nr.1 inchiderea 318,5501.95,0,0,56.2,11.8,4894.55,538.4,0,0,0,0,1.0,0,0
18,Z POS,322,2025-12-18,Z emis la POS nr.1 inchiderea 319,6193.69,0,0,24.79,5.21,5552.87,610.82,0,0,0,0,0.0,0,0
19,Z POS,323,2025-12-19,Z emis la POS nr.1 inchiderea 320,6202.5,0,0,26.45,5.55,5559.01,611.49,0,0,0,0,0.0,0,0
20,Z POS,324,2025-12-20,Z emis la POS nr.1 inchiderea 321,4483.89,0,0,20.66,4.34,4017.02,441.87,0,0,0,0,0.0,0,0
21,Z POS,325,2025-12-21,Z emis la POS nr.1 inchiderea 322,5631.05,0,0,10.74,2.26,5061.31,556.74,0,0,0,0,0.0,0,0
22,Z POS,326,2025-12-22,Z emis la POS nr.1 inchiderea 323,5673.61,0,0,25.21,5.29,5083.43,559.18,0,0,0,0,0.5,0,0
23,Z POS,327,2025-12-23,Z emis la POS nr.1 inchiderea 324,5040.83,0,0,25.62,5.38,4513.36,496.47,0,0,0,0,0.0,0,0
24,Z POS,328,2025-12-27,Z emis la POS nr.1 inchiderea 325,2668.77,0,0,5.37,1.13,2398.44,263.83,0,0,0,0,0.0,0,0
25,Z POS,329,2025-12-28,Z emis la POS nr.1 inchiderea 326,2656.45,0,0,30.17,6.33,2359.41,259.54,0,0,0,0,1.0,0,0
26,Z POS,330,2025-12-29,Z emis la POS nr.1 inchiderea 327,3636.59,0,0,4.96,1.04,3270.8,359.79,0,0,0,0,0.0,0,0
27,Z POS,331,2025-12-30,Z emis la POS nr.1 inchiderea 328,5049.64,0,0,20.25,4.25,4527.15,497.99,0,0,0,0,0.0,0,0
