Nr_Crt,Denumire,Nr_Doc_Z,Data,Explicatii,Total_Valoare,Scutit_Cu_Drept_Reducere,Scutit_Fara_Drept_Reducere,Taxabile_21_Baza_Impozitare,Taxabile_21_Val_TVA,Taxabile_11_Baza_Impozitare,Taxabile_11_Val_TVA,Nefolosit_1_Baza_Impozitare,Nefolosit_1_Val_TVA,Nefolosit_2_Baza_Impozitare,Nefolosit_2_Val_TVA,Netaxabil_Baza_Impozitare,Netaxabil_Val_TVA,Final_Rate
1,Z POS,98,2025-08-01,Z emis la POS nr.1 inchiderea 3515,35511.3,0,0,124.59,26.16,31856.35,3504.2,0,0,0,0,0,0,0
2,Z POS,99,2025-08-02,Z emis la POS nr.1 inchiderea 3516,41461.72,0,0,129.55,27.2,37211.68,4093.29,0,0,0,0,0,0,0
3,Z POS,100,2025-08-03,Z emis la POS nr.1 inchiderea 3517,35247.05,0,0,164.05,34.45,31575.27,3473.28,0,0,0,0,0,0,0
4,Z POS,101,2025-08-04,Z emis la POS nr.1 inchiderea 3518,13935.79,0,0,48.55,10.2,12501.84,1375.2,0,0,0,0,0,0,0
5,Z POS,102,2025-08-05,Z emis la POS nr.1 inchiderea 3519,14444.84,0,0,46.69,9.81,12962.47,1425.87,0,0,0,0,0,0,0
6,Z POS,103,2025-08-06,Z emis la POS nr.1 inchiderea 3520,18556.56,0,0,62.6,13.15,16649.38,1831.43,0,0,0,0,0,0,0
7,Z POS,104,2025-08-07,Z emis la POS nr.1 inchiderea 3521,20796.85,0,0,53.31,11.19,18677.79,2054.56,0,0,0,0,0,0,0
8,Z POS,105,2025-08-08,Z emis la POS nr.1 inchiderea 3522,31106.16,0,0,100.83,21.17,27913.66,3070.5,0,0,0,0,0,0,0
9,Z POS,106,2025-08-09,Z emis la POS nr.1 inchiderea 3523,49368.18,0,0,175.21,36.79,44284.85,4871.33,0,0,0,0,0,0,0
10,Z POS,107,2025-08-10,Z emis la POS nr.1 inchiderea 3524,38333.91,0,0,78.93,16.57,34449.02,3789.39,0,0,0,0,0,0,0
11,Z POS,108,2025-08-11,Z emis la POS nr.1 inchiderea 3525,14283.63,0,0,53.31,11.19,12810.03,1409.1,0,0,0,0,0,0,0
12,Z POS,109,2025-08-12,Z emis la POS nr.1 inchiderea 3526,17808.95,0,0,70.66,14.84,15967.07,1756.38,0,0,0,0,0,0,0
13,Z POS,110,2025-08-13,Z emis la POS nr.1 inchiderea 3527,21593.45,0,0,88.43,18.57,19357.16,2129.29,0,0,0,0,0,0,0
14,Z POS,111,2025-08-14,Z emis la POS nr.1 inchiderea 3528,33789.48,0,0,147.93,31.07,30279.71,3330.77,0,0,0,0,0,0,0
15,Z POS,112,2025-08-15,Z emis la POS nr.1 inchiderea 3529,51489.96,0,0,217.15,45.6,46150.64,5076.57,0,0,0,0,0,0,0
16,Z POS,113,2025-08-16,Z emis la POS nr.1 inchiderea 3530,42324.48,0,0,172.11,36.14,37942.55,4173.68,0,0,0,0,0,0,0
17,Z POS,114,2025-08-17,Z emis la POS nr.1 inchiderea 3531,28836.71,0,0,140.91,29.59,25825.41,2840.8,0,0,0,0,0,0,0
18,Z POS,115,2025-08-18,Z emis la POS nr.1 inchiderea 3532,18739.41,0,0,76.24,16.01,16799.24,1847.92,0,0,0,0,0,0,0
